system:index,date,water_area,.geo
1_1_LT05_184052_19861223,1986-12-23T08:37:31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_184052_19870108,1987-01-08T08:37:59,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_184052_19870124,1987-01-24T08:38:26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_184052_19870209,1987-02-09T08:39:02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_184052_19870225,1987-02-25T08:39:40,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_184052_19870313,1987-03-13T08:40:16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_184052_19870329,1987-03-29T08:40:51,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_184052_19871007,1987-10-07T08:45:48,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_184052_19990210,1999-02-10T08:57:40,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185050_19840818,1984-08-18T08:53:43,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185050_19841021,1984-10-21T08:53:54,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185050_19841106,1984-11-06T08:53:48,0.005401739562988281,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185050_19860112,1986-01-12T08:51:18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185050_19860301,1986-03-01T08:50:13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185050_19860824,1986-08-24T08:45:10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185050_19861112,1986-11-12T08:42:26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185050_19861128,1986-11-28T08:42:09,0.0018006222534179689,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185050_19861214,1986-12-14T08:42:37,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185050_19861230,1986-12-30T08:43:06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185050_19870115,1987-01-15T08:43:34,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185050_19870131,1987-01-31T08:44:04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185050_19870320,1987-03-20T08:45:55,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185050_19871014,1987-10-14T08:51:18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185050_19911212,1991-12-12T08:48:20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185050_19981129,1998-11-29T09:02:51,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185050_19990201,1999-02-01T09:02:57,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185051_19840701,1984-07-01T08:52:46,61.45578625128208,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185051_19840818,1984-08-18T08:54:07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185051_19841021,1984-10-21T08:54:18,9.006321411132813E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185051_19841106,1984-11-06T08:54:11,0.017108211730957033,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185051_19850501,1985-05-01T08:54:26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185051_19860112,1986-01-12T08:51:42,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185051_19860824,1986-08-24T08:45:34,389.1451506405409,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185051_19861112,1986-11-12T08:42:49,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185051_19861128,1986-11-28T08:42:33,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185051_19861214,1986-12-14T08:43:01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185051_19861230,1986-12-30T08:43:30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185051_19870115,1987-01-15T08:43:58,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185051_19870131,1987-01-31T08:44:27,0.005403412963867187,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185051_19870320,1987-03-20T08:46:18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185051_19871014,1987-10-14T08:51:42,0.001801191162109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185051_19911025,1991-10-25T08:48:22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185051_19911126,1991-11-26T08:48:34,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185051_19911212,1991-12-12T08:48:43,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185051_19981129,1998-11-29T09:03:15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185051_19990201,1999-02-01T09:03:20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185052_19840701,1984-07-01T08:53:10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185052_19840818,1984-08-18T08:54:31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185052_19841021,1984-10-21T08:54:42,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185052_19850501,1985-05-01T08:54:50,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185052_19860112,1986-01-12T08:52:06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185052_19861112,1986-11-12T08:43:14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185052_19861128,1986-11-28T08:42:57,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185052_19861214,1986-12-14T08:43:25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185052_19861230,1986-12-30T08:43:54,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185052_19870115,1987-01-15T08:44:22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185052_19870131,1987-01-31T08:44:51,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185052_19870320,1987-03-20T08:46:42,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185052_19871014,1987-10-14T08:52:06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185052_19911025,1991-10-25T08:48:46,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185052_19911126,1991-11-26T08:48:58,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185052_19911212,1991-12-12T08:49:07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185052_19981129,1998-11-29T09:03:39,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_185052_19990201,1999-02-01T09:03:44,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_186050_19840910,1984-09-10T09:00:08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_186050_19840926,1984-09-26T09:00:09,309.21913715816004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_186050_19841012,1984-10-12T09:00:08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_LT05_186050_19841028,1984-10-28T09:00:03,0.0584935821533203,"{""type"":""MultiPoint"",""coordinates"":[]}"
